Ud(nd;na) Ud(nd;a) Ud(d;na) Ud(d;a) Ua(nd;na) Ua(nd;a) Ua(d;na) Ua(d;a)
0   0    0    0    0 0 0    0 0
1   20   40   31   0 2 42   4 22
2   20   50   41   0 2 52   4 22
3   20   60   51   0 2 62   4 22
4   20   70   61   0 2 72   4 22
5   20   80   71   0 2 82   4 22
6   20   90   81   0 2 92   4 22
7   20   100  91   0 2 102  4 22
8   20   110  101  0 2 112  4 22
9   20   120  111  0 2 122  4 22
10  20   130  121  0 2 132  4 22   
