10	  0.5   0.5    0.5   0.5   
20	  1     1    1     1  
30	  2     2    4     2     
40    3     3    4     3
50    3     3    6     3 
60    5     5    6     5 
70    5     5    8     5 
80    6     6    8     6 
90    8     8    10    8 
100   8     8    12    8 
