10 	   0   1    10   8  
20     0   1    5    5
30     0   1    20   15
40     1   2    25   8
50     1   2    20   17
60     1   3    60   40
70     2   4    50   20
80     2   5    55   35
90     2   5    65   50
100    2   5    60   40
